distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,target_num,consume/dist.,consume/speed
28.0,5.0,26,21.5,12,E10,0,0,0,0,0.17857142857142858,0.19230769230769232
12.0,4.2,30,21.5,13,E10,0,0,0,0,0.35000000000000003,0.14
11.2,5.5,38,21.5,15,E10,0,0,0,0,0.4910714285714286,0.14473684210526316
12.9,3.9,36,21.5,14,E10,0,0,0,0,0.3023255813953488,0.10833333333333334
18.5,4.5,46,21.5,15,E10,0,0,0,0,0.24324324324324326,0.09782608695652174
8.3,6.4,50,21.5,10,E10,0,0,0,0,0.7710843373493975,0.128
7.8,4.4,43,21.5,11,E10,0,0,0,0,0.5641025641025642,0.10232558139534885
12.3,5.0,40,21.5,6,E10,0,0,0,0,0.4065040650406504,0.125
4.9,6.4,26,21.5,4,E10,0,0,0,0,1.3061224489795917,0.24615384615384617
11.9,5.3,30,21.5,9,E10,0,0,0,0,0.4453781512605042,0.17666666666666667
12.4,5.6,42,21.5,4,E10,0,0,0,0,0.4516129032258064,0.13333333333333333
11.8,4.6,38,21.5,0,E10,0,0,0,0,0.38983050847457623,0.12105263157894736
12.3,5.9,59,21.5,10,E10,0,0,0,0,0.4796747967479675,0.1
24.7,5.1,58,21.5,12,E10,0,0,0,0,0.20647773279352225,0.08793103448275862
12.4,4.7,46,21.5,11,E10,0,0,0,0,0.3790322580645161,0.10217391304347827
17.3,5.1,24,21.5,5,E10,0,0,0,0,0.29479768786127164,0.2125
33.4,5.6,36,21.5,3,E10,0,0,0,0,0.16766467065868262,0.15555555555555556
11.8,5.1,32,21.5,3,E10,0,0,0,0,0.43220338983050843,0.159375
25.9,4.9,39,21.5,8,E10,0,0,0,0,0.1891891891891892,0.12564102564102564
11.8,4.7,40,21.5,4,E10,0,0,0,0,0.3983050847457627,0.11750000000000001
25.3,5.5,32,21.5,3,E10,0,0,0,0,0.21739130434782608,0.171875
14.2,5.9,38,21.5,1,E10,0,0,0,0,0.41549295774647893,0.15526315789473685
17.9,5.7,37,21.5,1,E10,0,0,0,0,0.3184357541899442,0.15405405405405406
11.8,4.7,36,21.5,1,E10,0,0,0,0,0.3983050847457627,0.13055555555555556
12.3,5.9,62,21.5,6,E10,0,0,0,0,0.4796747967479675,0.09516129032258065
12.4,4.1,57,21.5,9,E10,0,0,0,0,0.33064516129032256,0.0719298245614035
18.4,5.7,21,22.5,2,E10,0,0,0,0,0.3097826086956522,0.27142857142857146
18.4,5.8,28,21.5,3,E10,0,0,0,0,0.31521739130434784,0.20714285714285713
18.3,5.5,29,21.5,1,E10,0,0,0,0,0.3005464480874317,0.1896551724137931
18.4,5.7,35,21.5,4,E10,0,0,0,0,0.3097826086956522,0.16285714285714287
12.3,5.3,51,21.5,11,E10,0,0,0,0,0.4308943089430894,0.10392156862745097
11.8,5.0,29,21.5,10,E10,0,0,0,0,0.423728813559322,0.1724137931034483
12.3,5.6,58,21.5,8,E10,0,0,0,0,0.4552845528455284,0.09655172413793103
32.6,4.8,40,21.5,7,E10,0,0,0,0,0.14723926380368096,0.12
19.0,4.3,36,21.5,7,E10,0,0,0,0,0.2263157894736842,0.11944444444444444
12.1,5.7,36,21.5,8,E10,0,0,0,0,0.4710743801652893,0.15833333333333333
